,Compound Score,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
17,0.0,0.0,1.0,0.0,CNN,Secretary of State Mike Pompeo reiterated US calls for North Korea to completely rid itself of all remnants of its… https://t.co/3RxJpEMn3K,17.0
18,-0.4767,0.154,0.846,0.0,CNN,Syracuse University has suspended 15 members of a professional fraternity after they appeared in videos that the sc… https://t.co/X6Bs6DkczE,18.0
19,0.0,0.0,1.0,0.0,CNN,Porsche's first electric car will be called the Taycan https://t.co/Wxy5sh45nm https://t.co/3m7qXCcg2J,19.0
20,0.6705,0.085,0.618,0.297,CNN,"There was nobody like Anthony Bourdain, and there was no show like #PartsUnknown. CNN pays tribute with a special n… https://t.co/9TgJMgP7Kc",20.0
21,0.6486,0.0,0.762,0.238,CNN,"President Trump says his relationships with other Western leaders are perfect, but the truth is the transatlantic a… https://t.co/o0UsVXeClf",21.0
22,0.0,0.0,1.0,0.0,CNN,"Prince Harry and Meghan, Duchess of Sussex, joined celebrations of Queen Elizabeth II's official birthday with the… https://t.co/c6kvYJ2vwn",22.0
23,0.539,0.0,0.852,0.148,CNN,President Trump on the upcoming North Korea meeting: “I really feel confident. I feel that Kim Jong Un wants to do… https://t.co/9jM2GjrhxU,23.0
24,0.5859,0.0,0.847,0.153,CNN,"One step on the island of Bermuda, and it's impossible not to be moved by its beauty, history, simplicity and charm… https://t.co/EOxmxM76Kk",24.0
25,0.3612,0.0,0.878,0.122,CNN,"Will we ever fly like the Jetsons? This company just unveiled its first commercial flying car, Flyer — and… https://t.co/bZV351RYJz",25.0
26,-0.7269,0.319,0.681,0.0,CNN,A man in Texas nearly died after the severed head of a rattlesnake bit him https://t.co/bqHnciUgf3 https://t.co/NmnJLHs3Hz,26.0
27,-0.6486,0.218,0.782,0.0,CNN,News of Anthony Bourdain’s death shook people around the world. We asked for your stories of how this gifted storyt… https://t.co/lzZyRpT9Co,27.0
28,-0.7506,0.274,0.726,0.0,CNN,"Authorities have found the remains of a woman killed by an alligator in Davie, Florida. The woman disappeared Frida… https://t.co/MlDdA6jk5h",28.0
29,0.0,0.0,1.0,0.0,CNN,The small (but not insignificant) ways Anthony Bourdain made a difference in the lives of some everyday people… https://t.co/TMK8f9nYfC,29.0
30,0.3291,0.0,0.907,0.093,CNN,"In the history of horse racing, only 12 horses have ever won the fabled Triple Crown. But why is this trophy so dif… https://t.co/gDu0o6AgPX",30.0
31,0.0,0.0,1.0,0.0,CNN,"President Trump, while making remarks at the G7 summit, says he has not spoken to Vladimir Putin in ""quite a while,… https://t.co/4qmAImsiL4",31.0
32,0.0,0.0,1.0,0.0,CNN,This computer can do more calculations per second than the world's population could do in a year… https://t.co/wqlDQvYF3L,32.0
33,0.4215,0.0,0.882,0.118,CNN,"At the G7 meeting, President Trump called for an end to tariffs and scolded other countries for using the United St… https://t.co/KG7SFGii09",33.0
34,0.4215,0.0,0.781,0.219,CNN,BlackBerry still hopes its keyboard keeps fans coming back https://t.co/AodQi1CBVV https://t.co/8KbIHW3k74,34.0
35,0.765,0.145,0.526,0.329,CNN,The race to save the Great Barrier Reef? A coral fertility treatment designed to help damaged parts of the reef is… https://t.co/MD6vhMxOh8,35.0
36,0.0,0.0,1.0,0.0,CNN,"What is a tariff? Your trade questions, answered https://t.co/AIJVEEOzHM https://t.co/HT5UJDzzjl",36.0
37,0.0,0.0,1.0,0.0,CNN,A Sikh soldier wore a turban in Queen Elizabeth ll's official birthday parade https://t.co/LK0fihnFB2 https://t.co/142baFgcVA,37.0
38,0.0,0.0,1.0,0.0,CNN,A former diplomat at the Vatican Embassy in Washington has been indicted by a Vatican court for possession of child… https://t.co/CSRKlOzeg8,38.0
39,0.2732,0.221,0.514,0.265,CNN,Simona Halep wins first grand slam title by beating Sloane Stephens at the French Open https://t.co/0tMJbvB40e https://t.co/s3YRroOgXu,39.0
40,-0.4019,0.119,0.881,0.0,CNN,President Trump doubles down on his call for Russia to be readmitted into the G7 and blames former President Obama… https://t.co/3zkWB92wwY,40.0
41,-0.7506,0.33,0.67,0.0,CNN,The Trump administration's latest attack on Obamacare would gut protections for the sick https://t.co/ikBcCkGeAT https://t.co/ehXI4vF0vc,41.0
42,-0.5994,0.151,0.849,0.0,CNN,Construction workers in the UK have found wads of cash dating back to World War II at a shop that once belonged to… https://t.co/Zuo9XcYf9a,42.0
43,0.4404,0.0,0.868,0.132,CNN,"Anthony Bourdain's fans turned the restaurant where he shot to fame as a chef into a memorial, leaving roses and no… https://t.co/5fg9y1cERL",43.0
44,0.7717,0.0,0.749,0.251,CNN,"Hall of Fame trainer Bob Baffert, who is looking to make history with a win today at the Belmont Stakes, compares h… https://t.co/sUsVNh98tA",44.0
45,0.0,0.0,1.0,0.0,CNN,"The week began with news of Trump canceling the Philadelphia Eagles' visit to the White House, and ended with news… https://t.co/H1ILtBxF1W",45.0
46,0.2023,0.0,0.913,0.087,CNN,Illinois Republicans in Congress are making an urgent plea to President Trump: Don't let Rod Blagojevich off the ho… https://t.co/L4UPCaV1kD,46.0
47,0.1779,0.097,0.773,0.13,CNN,Former Trump campaign chairman Paul Manafort and his attorneys struck back at special counsel Robert Mueller's char… https://t.co/m4eIhVUiWL,47.0
48,-0.296,0.176,0.824,0.0,CNN,"Charles Krauthammer, the famed conservative columnist, informed readers that he is confronting an aggressive form o… https://t.co/7vTbQ8M6D8",48.0
49,0.0,0.0,1.0,0.0,CNN,"Prince Harry and Meghan, Duchess of Sussex, joined celebrations of Queen Elizabeth II's official birthday with the… https://t.co/UkiwKzYsxC",49.0
50,-0.4585,0.187,0.813,0.0,CNN,Republicans haven't won statewide in Virginia since 2009. Tuesday's Senate primary shows why:… https://t.co/xkWpPfkUCE,50.0
51,-0.0772,0.067,0.933,0.0,CNN,President Trump says he thinks he’ll know “within the first minute” if North Korea is serious about peace… https://t.co/kRdFefn4fN,51.0
52,0.6597,0.0,0.822,0.178,CNN,"RT @CNNPolitics: Trump: ""I think it would be asset to have Russia back in. I think it would be good for the world. I think it would be good…",52.0
53,0.2732,0.0,0.884,0.116,CNN,"""Consumer Financial Protection Bureau acting director Mick Mulvaney has ousted a committed group of experts who vol… https://t.co/l36frkFEtw",53.0
54,0.539,0.0,0.852,0.148,CNN,President Trump on the upcoming North Korea meeting: “I really feel confident. I feel that Kim Jong Un wants to do… https://t.co/D0Fi57k3zj,54.0
55,-0.3412,0.211,0.789,0.0,CNN,Things don't look good for Dodge and Chrysler https://t.co/twYdKzCpZ4 https://t.co/9aKZvGnuQG,55.0
56,0.5574,0.0,0.813,0.187,CNN,"President Trump: Trade was ""at the top of the list"" at G7 discussions because ""the United States has been taken adv… https://t.co/u6247HzPsj",56.0
57,0.0,0.0,1.0,0.0,CNN,President Trump is speaking at the G7 before heading to Singapore for the summit with Kim Jong Un. Watch live on CN… https://t.co/dNYLQOvVEk,57.0
58,0.0,0.0,1.0,0.0,CNN,President Trump is planning to depart the G7 ahead of climate change talks https://t.co/bfFqMKTIrg https://t.co/6PkzSs4guA,58.0
59,0.34,0.0,0.888,0.112,CNN,Former President Obama says he’ll always remember the meal he shared with Anthony Bourdain in Vietnam: “He taught u… https://t.co/XI67jcoy55,59.0
60,-0.3818,0.167,0.833,0.0,CNN,President Trump's tariffs on steel and aluminum threaten America's booming RV industry https://t.co/FxOEFN6Sx2 https://t.co/zpDj0uGxRI,60.0
61,0.0,0.0,1.0,0.0,CNN,"What is a tariff? Your trade questions, answered https://t.co/8Fylq20zXj https://t.co/pSfQJhAnZR",61.0
62,0.5719,0.0,0.829,0.171,CNN,The Duke and Duchess of Sussex celebrate Queen Elizabeth II's official birthday with the traditional Trooping the C… https://t.co/L2o8IJcNej,62.0
63,0.5859,0.0,0.847,0.153,CNN,"One step on the island of Bermuda, and it's impossible not to be moved by its beauty, history, simplicity and charm… https://t.co/mPpGOqifbk",63.0
64,0.0,0.0,1.0,0.0,CNN,"As the millions of US children diagnosed with ADHD move into adulthood, more and more are wondering whether to cont… https://t.co/Qs5xlj8fwK",64.0
65,0.0,0.119,0.763,0.119,CNN,"Fans around the world mourn chef and storyteller Anthony Bourdain, sharing memories of how his travels, food and co… https://t.co/jiW8HhY9ia",65.0
66,0.6124,0.0,0.762,0.238,CNN,"Does a pharmacy have an obligation to help a patient be sure that insurance will cover a prescription?

That's the… https://t.co/2Jxsnx7cI0",66.0
67,0.3818,0.0,0.698,0.302,CNN,Twitter has had a stunning turnaround https://t.co/hzutT84IrC https://t.co/AK7R50K5mh,67.0
68,0.4939,0.0,0.856,0.144,CNN,IHOP says it's changing name to IHOb. Many major companies also have rebranded — some successfully and some not so… https://t.co/Xz5NjtpaqH,68.0
69,0.4576,0.0,0.786,0.214,CNN,Mars is suddenly more interesting | By Jonathan Lunine via @CNNOpinion https://t.co/EA2ETHIldR https://t.co/fgmZax7nwV,69.0
70,-0.5994,0.151,0.849,0.0,CNN,Construction workers in the UK have found wads of cash dating back to World War II at a shop that once belonged to… https://t.co/TYdsjSziK7,70.0
71,0.0,0.0,1.0,0.0,CNN,"During her commencement address to the MIT Class of 2018, Facebook COO Sheryl Sandberg spoke candidly about Faceboo… https://t.co/hznkJTzAPH",71.0
72,-0.296,0.176,0.824,0.0,CNN,"Charles Krauthammer, the famed conservative columnist, informed readers that he is confronting an aggressive form o… https://t.co/H6R3LykoER",72.0
73,0.3612,0.0,0.878,0.122,CNN,"Will we ever fly like the Jetsons? This company just unveiled its first commercial flying car, Flyer — and… https://t.co/uRJsH7yPmG",73.0
74,0.765,0.145,0.526,0.329,CNN,The race to save the Great Barrier Reef? A coral fertility treatment designed to help damaged parts of the reef is… https://t.co/AGpnS1dn0C,74.0
75,-0.4588,0.143,0.857,0.0,CNN,"Organizers of a fashion show in Saudi Arabia used drones to display female clothes, drawing ridicule on social medi… https://t.co/cgo5HTjIJd",75.0
76,0.0,0.0,1.0,0.0,CNN,"From delivery to aviation, Dubai is at the forefront of drone experimentation. Here's a look at what the future hol… https://t.co/IZMve8IRLb",76.0
77,0.0,0.0,1.0,0.0,CNN,Are windowless planes the future of travel? https://t.co/Fjc2m6WgtG https://t.co/ux29QpKXWA,77.0
78,0.0,0.0,1.0,0.0,CNN,"Hurricanes and tropical storms are moving more slowly around the planet, resulting in higher rainfall and more extr… https://t.co/8qyqjq9IGd",78.0
79,0.4019,0.0,0.87,0.13,CNN,"The Afghan Taliban called for a three-day ceasefire with Afghan forces over the Eid al-Fitr holiday, a move that fo… https://t.co/BLmTAtjmRg",79.0
80,0.5859,0.074,0.703,0.223,CNN,"Tyler Soloman wiped tears of joy off his face after his father, who'd been deployed overseas, surprised Tyler by sh… https://t.co/uzD0GNZH2P",80.0
81,0.0,0.0,1.0,0.0,CNN,"Penguins, Seals, and Krill: Antarctica's fragile food chain | via @CNNVR https://t.co/1BBRFfOzWk https://t.co/G46D0CB0wY",81.0
82,0.0,0.0,1.0,0.0,CNN,Anthony Bourdain's life in pictures https://t.co/76sjWPlMRR https://t.co/MtFAqaoDvC,82.0
83,-0.6124,0.238,0.762,0.0,CNN,"The US Embassy in Mozambique has warned of ""imminent attacks"" against government and commercial centers in a northe… https://t.co/EoDJsFFoOM",83.0
84,0.6369,0.0,0.794,0.206,CNN,Egypt is building The Grand Egyptian Museum. The cost? More than $1 billion. It will re-house and restore some of t… https://t.co/R5c8mOlfrv,84.0
85,0.3612,0.089,0.751,0.16,CNN,The Justice Department won't defend the Deferred Action for Childhood Arrivals program in a federal lawsuit that Te… https://t.co/0IJPEuEAF0,85.0
86,0.0,0.0,1.0,0.0,CNN,President Trump is dressed as a king on the new Time magazine cover https://t.co/7pFcAHVSIF https://t.co/joUPfVBvUY,86.0
87,0.2732,0.0,0.9,0.1,CNN,"First responders in Russellville, Arkansas, went above and beyond the call of duty to surprise a teen with autism a… https://t.co/QtTP3JEFVL",87.0
88,0.0,0.0,1.0,0.0,CNN,The world's highest glass bridge will soon be home to the world's highest bungee jump https://t.co/fAaotSRizW via… https://t.co/t4WbdUBMFL,88.0
89,0.0,0.0,1.0,0.0,CNN,"Steamboat Geyser in Yellowstone National Park is erupting unusually often. One June 4, the geyser had its eighth er… https://t.co/kzJPr5HFmj",89.0
90,-0.2732,0.104,0.896,0.0,CNN,"Researchers are looking into the possibility of using blood tests to predict a woman's risk of premature birth, whi… https://t.co/vJZFkJZz7U",90.0
91,0.0,0.0,1.0,0.0,CNN,Watch these homes being built using a 3D printer https://t.co/igaBP4k4F8 https://t.co/cpQ97vRD2k,91.0
92,0.0,0.0,1.0,0.0,CNN,KFC says it will break with its meat-loving tradition and begin testing a vegetarian alternative to chicken later t… https://t.co/WfVJGm649F,92.0
93,0.2263,0.0,0.894,0.106,CNN,This Army soldier traveled from Iraq for his daughter’s graduation and surprised her at the rehearsal… https://t.co/5UKjPCDo5W,93.0
94,0.0,0.0,1.0,0.0,CNN,This is the poem a kindergarten teacher hung up so her students know what to do in a school shooting… https://t.co/Tf587ohFnZ,94.0
95,0.8519,0.0,0.646,0.354,CNN,Ever felt like your vacation would make a good blockbuster movie? This tour company aims to capture your travel exp… https://t.co/DsmmE2rdJx,95.0
96,0.7351,0.0,0.677,0.323,CNN,This delivery man is being praised for taking a welcome mat's quirky instructions literally https://t.co/JTIKQxzCvS https://t.co/rZCmomGUOb,96.0
97,0.0258,0.0,0.942,0.058,CNN,Organic matter has been found on Mars in soil samples the Curiosity rover took from 3 billion-year-old mudstone in… https://t.co/QrC1BQMFkl,97.0
98,0.4215,0.0,0.781,0.219,CNN,BlackBerry still hopes its keyboard keeps fans coming back https://t.co/AodQi1UcNt https://t.co/r2CaKtagX7,98.0
99,-0.3597,0.146,0.773,0.082,CNN,"Venezuela ranks as the most dangerous country in the world for the second straight year, according to a new Gallup… https://t.co/ywDhdCxqJn",99.0
100,0.25,0.0,0.846,0.154,BBC,Sabrina Simader: 'I realised my Winter OIympics skiing dream for Kenya' https://t.co/RDSobGKLqC,
101,0.0,0.0,1.0,0.0,BBC,Serial poopers: What makes people poo in public places? https://t.co/S6ONUPukrF,
102,0.0,0.0,1.0,0.0,BBC,Donating money to homeless people using your phone https://t.co/IVR4az9VH7,
103,0.0,0.0,1.0,0.0,BBC,The Belgian students revising with monks at a monastery https://t.co/DgQqx4kblg,
104,-0.3182,0.187,0.813,0.0,BBC,The other Balochistan: Six stories of life in a conflict zone https://t.co/z1VypEcqAD,
105,-0.4404,0.367,0.633,0.0,BBC,Long watch: Russia's dirty secret https://t.co/NvTiqgmgCv,
106,0.0,0.0,1.0,0.0,BBC,G7 summit: $3bn pledge for girls' education https://t.co/lzB0N8d2dG,
107,0.3309,0.0,0.728,0.272,BBC,G7 commits to 'rules-based trading system' despite tensions with US https://t.co/lF9GGvnUlW,
108,-0.5106,0.32,0.68,0.0,BBC,UN condemns Central African Republic hospital raids https://t.co/93Wa37cReV,
109,0.5423,0.0,0.741,0.259,BBC,Trump: Kim has one shot at peace at Singapore summit https://t.co/BA8DNNKFPu,
110,-0.6486,0.431,0.569,0.0,BBC,Disruptive passenger on Jet2 flight banned for life https://t.co/Y0tzheYt6b,
111,0.0258,0.111,0.773,0.116,BBC,Inside Afghanistan's only secure psychiatric unit.  The BBC investigates the lasting effects of conflict in the cou… https://t.co/pUmnntT4C7,
112,0.3612,0.0,0.857,0.143,BBC,"Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",
113,-0.8225,0.458,0.542,0.0,BBC,Iraq arrests asylum seeker wanted in Germany for Wiesbaden murder https://t.co/mRHxslzEMD,
114,0.0,0.0,1.0,0.0,BBC,French Open 2018: Simona Halep beats Sloane Stephens in final https://t.co/HdiRgt3kuq,
115,0.5719,0.0,0.829,0.171,BBC,"RT @BBCNews: Trooping the Colour: Four things about the event that celebrates the Queen's official birthday
👑
https://t.co/YHGc0NYNxv https…",
116,0.5423,0.0,0.851,0.149,BBC,"US President @realDonaldTrump says he is ""on a mission of peace"" when he travels to Singapore to meet Kim Jong-un f… https://t.co/LyCpbbjImh",
117,0.5859,0.0,0.78,0.22,BBC,"""The United States has been taken advantage of for decades.. and we can't do that anymore""- US President… https://t.co/iiAxrXtx8U",
118,0.0,0.0,1.0,0.0,BBC,"The first Bond girl, Eunice Grayson, dies at 90 https://t.co/iaWJA0aKui",
119,-0.802,0.419,0.581,0.0,BBC,"RT @BBCAfrica: MacBeth Sibaya: Racism in South Africa worse than Russia 

https://t.co/pfCrGOBoIS",
120,0.0,0.0,1.0,0.0,BBC,Vatican ex-diplomat on trial for 'child pornography' https://t.co/FQKuqa2yHw,
121,-0.4215,0.14,0.791,0.069,BBC,"Two men who look like Donald Trump and Kim Jong-un went for a walk in Singapore 
But are they fooling anyone? 🤔… https://t.co/zVip7wCxvn",
122,0.0,0.0,1.0,0.0,BBC,RT @BBCNews: The Royal family watch the RAF flypast from Buckingham Palace. 23 aircraft are taking part to mark the Queen's official birthd…,
123,-0.7184,0.231,0.769,0.0,BBC,"RT @BBCNews: A 41 gun salute is fired to mark the Queen's official birthday at the Trooping the Colour ceremony in London 
#TroopingtheColo…",
124,0.5859,0.0,0.593,0.407,BBC,Climate change: Pope urges action on clean energy https://t.co/ANRAS2l9Bv,
125,0.0,0.0,1.0,0.0,BBC,John Lasseter: Disney animation head to quit after misconduct claims https://t.co/VbE84nBTtd,
126,0.1027,0.167,0.641,0.192,BBC,French Open 2018: Simona Halep aims for maiden Grand Slam title https://t.co/ygHKq9Q1mH,
127,0.0,0.0,1.0,0.0,BBC,RT @BBCNews: The Trooping the Colour parade which marks the Queen's official birthday is underway in London. The Queen and Duke and Duchess…,
128,0.0,0.0,1.0,0.0,BBC,Trump and Macron in handshake showdown at G7 summit https://t.co/ZlG6Um7Px8,
129,0.3612,0.0,0.8,0.2,BBC,Bride of Belsen Holocaust survivor Gena Turgel dies aged 95 https://t.co/XAZF4wgBUs,
130,0.0,0.0,1.0,0.0,BBC,"Form is temporary, class is permanent. Which counts more at the World Cup? 
⚽🏃‍♂️ @BBCRealityCheck has crunched the… https://t.co/XCRql73q54",
131,0.0,0.0,1.0,0.0,BBC,Game of Thrones: HBO orders spinoff prequel pilot https://t.co/S4ucN26bky,
132,0.0,0.0,1.0,0.0,BBC,G7 summit dogged by divisions between Trump and allies https://t.co/MHXoMA7KVo,
133,0.3612,0.0,0.737,0.263,BBC,Taliban agree three-day Eid ceasefire in Afghanistan https://t.co/WaVmsIdso0,
134,0.3182,0.145,0.611,0.244,BBC,Anthony Bourdain: Chef breaks into tears remembering his friend https://t.co/VMvl8KSq3W,
135,0.0,0.246,0.508,0.246,BBC,Jobless young Italians abandon charms of south https://t.co/FcqWWWTKu2,
136,-0.1027,0.123,0.877,0.0,BBC,India women pay tribute to Bollywood star Sridevi through cosplay https://t.co/rQjWBWWd3p,
137,-0.6369,0.318,0.682,0.0,BBC,Tayyaba abuse case shines light on Pakistan's child maids https://t.co/sXsjI8bXcA,
138,0.0,0.0,1.0,0.0,BBC,Maria Esther Bueno: Brazilian star of 1960s women's tennis dies https://t.co/hlcUIRhgcV,
139,0.0,0.0,1.0,0.0,BBC,Trump Kim summit: Who's pulling the strings? https://t.co/GROmz0qgIX,
140,0.0,0.0,1.0,0.0,BBC,Week in pictures: 2 - 8 June 2018 https://t.co/04QX8UWGZr,
141,0.0,0.0,1.0,0.0,BBC,Anthony Bourdain: Why his travel shows had global appeal https://t.co/lrP0LJKC7n,
142,-0.4939,0.262,0.738,0.0,BBC,China hackers steal data from US Navy contractor - reports https://t.co/A0UxMnLFFj,
143,0.3612,0.0,0.783,0.217,BBC,Why Russian workers are being taught how to smile https://t.co/K2vn2PyLt3,
144,0.4277,0.0,0.712,0.288,BBC,'They keep me here so I can't attack' https://t.co/uqG5k3pvIF,
145,-0.3612,0.2,0.8,0.0,BBC,Barbed wire and smuggled crabs: Watching North Korea from China https://t.co/Vjgk1HoL9H,
146,-0.6705,0.36,0.64,0.0,BBC,Why US suicide rate is on the rise https://t.co/6jqRzwhm8Q,
147,0.0,0.0,1.0,0.0,BBC,US election 2018: The women lining up to topple Trump https://t.co/LOGxNymdY4,
148,0.0,0.0,1.0,0.0,BBC,'Kim and Trump' buddy up in Singapore https://t.co/G0i7WJ60Kp,
149,0.0,0.0,1.0,0.0,BBC,Cuba 'sonic attack': US tests two more Havana embassy staff https://t.co/rUEbx6eGMs,
150,-0.6705,0.429,0.571,0.0,BBC,US soldier killed in Somalia firefight https://t.co/rEudHbzFIX,
151,0.0258,0.0,0.845,0.155,BBC,Why Turkey’s election matters to you https://t.co/ZvjTjYB9NB,
152,-0.2732,0.231,0.769,0.0,BBC,Mueller charges Manafort's right-hand man Konstantin Kilimnik https://t.co/q8UkWe7lxS,
153,0.0,0.0,1.0,0.0,BBC,"RT @BBCBreaking: World leaders assemble for 'family photo' at G7 summit in Canada 

https://t.co/9TJ4sS5Kev https://t.co/ZWUrmO3cV5",
154,0.0,0.0,1.0,0.0,BBC,Anthony Bourdain: Five of his tips for eating out https://t.co/LtHrUA3UZf,
155,0.4939,0.0,0.738,0.262,BBC,Could an emoji save your life in an earthquake? https://t.co/XYrmKybk1h,
156,0.2263,0.0,0.826,0.174,BBC,US 'grants extradition' of former Panama President Ricardo Martinelli https://t.co/UAW2FYapUv,
157,0.0,0.0,1.0,0.0,BBC,"RT @BBCSport: Incredible.

Rafael Nadal is in the French Open final AGAIN.

LIVE👉https://t.co/9uGaa6ApEd
📻 @5livesport extra
#bbctennis #RG…",
158,0.0,0.0,1.0,0.0,BBC,Pilot dies after plane crash-lands in Melbourne https://t.co/EMeKHmKRYj,
159,0.0,0.0,1.0,0.0,BBC,Photojournalist Duncan dies aged 102 https://t.co/UiTmSm6hu9,
160,0.0,0.0,1.0,0.0,BBC,Alligator knocks out trapper in Florida https://t.co/tVJz096hfE,
161,0.4003,0.0,0.848,0.152,BBC,"👨 See you later alligator! 
🐊 You're not getting rid of me that easily 

https://t.co/qQ1cgJlABC https://t.co/k42qn8mVcx",
162,0.7506,0.0,0.484,0.516,BBC,Anthony Bourdain tributes celebrate his #MeToo support https://t.co/NHWLK8aJEa,
163,-0.0258,0.189,0.629,0.182,BBC,Ghana football head Kwesi Nyantakyi banned by Fifa over 'cash gift' https://t.co/KsfCRCM7gT,
164,0.0,0.0,1.0,0.0,BBC,Congo warlord's conviction overturned https://t.co/5wXHGlhCwB,
165,-0.4767,0.181,0.819,0.0,BBC,RT @bbcworldservice: How these children in Uganda are being taught to spot 'fake news'. https://t.co/bFElDeRRfs,
166,0.5859,0.0,0.678,0.322,BBC,RT @BBCNews: The Queen has successful cataract operation https://t.co/xsbqmA0rT5,
167,0.0,0.0,1.0,0.0,BBC,Chimamanda Ngozi Adichie: Changing men and opening doors https://t.co/ByW9IlvCmJ,
168,-0.3182,0.247,0.753,0.0,BBC,The ghost village being reclaimed by nature https://t.co/vQ4NLtHSKq,
169,-0.9371,0.643,0.357,0.0,BBC,Susanna Feldman murder: Suspect in German teen's killing arrested in Iraq https://t.co/NzRl3TOjBY,
170,0.2263,0.131,0.654,0.215,BBC,Muhammad Ali: President Trump mulls draft dodging pardon https://t.co/sE4Vgx0o3z,
171,0.2023,0.0,0.816,0.184,BBC,South African company apologises for sexist beer campaign https://t.co/lio95mz2Vs,
172,-0.6486,0.158,0.842,0.0,BBC,"RT @BBCBreaking: US celebrity chef and writer Anthony Bourdain found dead in French hotel room at age of 61, his employer CNN says https://…",
173,-0.6486,0.35,0.65,0.0,BBC,Anthony Bourdain: Celebrity chef found dead at 61 https://t.co/CSe1SfLbyh,
174,0.7407,0.175,0.489,0.336,BBC,"RT @BBC_HaveYourSay: What do you do when a loved one suffers from depression? If you are happy to do so, please share your stories with us.…",
175,0.0,0.0,1.0,0.0,BBC,"RT @BBCSteveR: President Putin's TV phone-in: ""democracy in action"" or ""the product of an inefficient system""?  My quick take on the marath…",
176,0.0,0.0,1.0,0.0,BBC,RT @BBCEarth: Sir David Attenborough’s message for #WorldOceansDay. 🌊💙 https://t.co/H7x7bD25hZ,
177,-0.4939,0.314,0.686,0.0,BBC,Stolen Christopher Columbus letter returned to Spain https://t.co/A9KGNYDvOz,
178,0.0258,0.0,0.879,0.121,BBC,Fortnite player first to reach elusive game island https://t.co/m5yHE8weV7,
179,-0.2263,0.213,0.787,0.0,BBC,Airbnb cancels thousands of bookings in Japan https://t.co/DVjm9AfyT1,
180,0.0,0.0,1.0,0.0,BBC,Chinese house demolition halted because of swallow residents https://t.co/lfRVqFAXOW,
181,0.0,0.0,1.0,0.0,BBC,Lullaby written for school-shooting drills https://t.co/drHquGiiyy,
182,0.0,0.0,1.0,0.0,BBC,RT @bbcworldservice: What's happening to Botswana's disappearing birds of prey? https://t.co/r7ap3kXJhl,
